Symbol,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Exchange,Price,Active,Description,Homepage URL,Employees,Revenue,Revenue (USD),Working Capital Ratio,Quick Ratio,EPS,P/E Ratio,D/E Ratio,ROE,Timestamp
DECK,DECK,Deckers Outdoor Corporation,32651076240,USD,32651076240,32651076240,NYSE,214.92,true,"Deckers Outdoor Corporation, together with its subsidiaries, designs, markets, and distributes footwear, apparel, and accessories for casual lifestyle use and high-performance activities. The company offers premium footwear, apparel, and accessories under the UGG brand name; sandals, shoes, and boots under the Teva brand name; and relaxed casual shoes and sandals under the Sanuk brand name. It also provides footwear and apparel for ultra-runners and athletes under the Hoka brand name; and fashion casual footwear using other plush materials under the Koolaburra brand. The company sells its products through department stores, domestic independent action sports and outdoor specialty footwear retailers, and larger national retail chains, as well as online retailers. It also sells its products directly to consumers through its retail stores and e-commerce websites, as well as distributes its products through distributors and retailers in the United States, Europe, the Asia-Pacific, Canada, Latin America, and internationally. As of March 31, 2022, it had 149 retail stores, including 75 concept stores and 74 outlet stores worldwide. The company was founded in 1973 and is headquartered in Goleta, California.",https://www.deckers.com,4800,4287763000,4287763000,,,,,,,2025-01-23T14:08:53.090887+00:00
KER.PA,KER.PA,Kering SA,30052240558,EUR,30052240558,30052240558,EURONEXT,245.15,true,"Kering SA develops, designs, manufactures, markets, and sells apparel and accessories. The company offers shoes; leather goods, including handbags and wallets, purses, and other leather products; eyewear, textile accessories, etc.; and jewelry and watches, as well as ready-to-wear products for men and women. It also provides perfumes and cosmetics. The company provides Gucci, Saint Laurent, Bottega Veneta, Alexander McQueen, Balenciaga, Brioni, Boucheron, Pomellato, DoDo, Qeelin, Girard-Perregaux, Ulysse Nardin, and Kering Eyewear branded products. It sells its products through stores and e-commerce sites. As of December 31, 2021, it operated 1,565 stores. Kering SA sells its products in the Asia-Pacific, Western Europe, North America, Japan, and internationally. The company was formerly known as PPR SA and changed its name to Kering SA in June 2013. Kering SA was founded in 1963 and is based in Paris, France.",https://www.kering.com,46444,19566000000,19566000000,,,,,,,2025-01-23T14:08:28.200540+00:00
LPP.WA,LPP.WA,LPP SA,29731357800,PLN,29731357800,29731357800,WSE,16020.0,true,"LPP SA designs, manufactures, distributes, and retails clothing for women, men, and children. It offers apparel, accessories, and footwear under the Reserved, Cropp, House, Mohito, and Sinsay brands. The company sells its products through 2,244 stores, as well as through online stores in Poland and internationally. LPP SA was founded in 1989 and is headquartered in Gdansk, Poland.",https://www.lppsa.com,33000,17406200000,17406200000,,,,,,,2025-01-23T14:08:45.636778+00:00
MAVI.IS,MAVI.IS,Mavi Giyim Sanayi ve Ticaret A.S.,29496258000,TRY,29496258000,29496258000,IST,74.25,true,"Mavi Giyim Sanayi ve Ticaret A.S. engages in the wholesale and retail sale of ready-to-wear denim apparel for men, women, and children. The company offers knit and woven shirts, T-shirts, sweaters, jackets, skirts, dresses, accessories, and denim bottoms. It operates 327 retail stores, 68 franchised stores, and 500 wholesale doors in Turkey; 1 retail store and 800 wholesale doors in Europe; 1,200 wholesale doors in the United States; 4 retail stores and 1,000 wholesale doors in Canada; 19 retail stores, 17 franchised stores, and 125 wholesale doors in Russia; and 20 franchise stores and 25 wholesale doors internationally, as well as e-commerce platforms. Mavi Giyim Sanayi ve Ticaret A.S. was incorporated in 1991 and is based in Istanbul, Turkey.",https://www.mavicompany.com,6366,26293292000,26293292000,,,,,,,2025-01-23T14:08:45.766533+00:00
DOLLAR.NS,DOLLAR.NS,Dollar Industries Limited,24195088260,INR,24195088260,24195088260,NSE,426.6,true,"Dollar Industries Limited manufactures and sells hosiery products in knitted inner wears, casual wears, and thermal wears primarily in India. It offers vests, briefs, trunks, gym wears, socks, tank tops, crew necks, polos, henley, bermudas, capri, track pants, and joggers for men; camisoles, panties, leggings, socks, and casual wears for women; and T-shirts, shorts, track pants, bermudas, capri, socks, and trousers for children, as well as safety mask and PPE suits. The company offers its products under the BigBoss, J-Class, Athleisure, Missy, Champion, Force NXT, Force Gowear, Ultra, Winter care, and Doller Protect brands. It also exports its products in the United Arab Emirates, Oman, Qatar, Kuwait, Bahrain, Yemen, Iraq, Nigeria, Nepal, Myanmar, Jordon, Bangladesh, Georgia, Sri Lanka, and Somalia. Dollar Industries Limited was founded in 1972 and is headquartered in Kolkata, India.",https://www.dollarglobal.in,2160,15722745000,15722745000,,,,,,,2025-01-23T14:08:44.819902+00:00
600612.SS,600612.SS,"Lao Feng Xiang Co., Ltd.",21207253604,CNY,21207253604,21207253604,SHH,51.75,true,"Lao Feng Xiang Co., Ltd. operates in the jewelry industry in the People's Republic of China and internationally. It designs, produces, and sells gold, silver, platinum, diamonds, jade, pearls, gold inlays, colored gemstones, enamel, red coral, and other jewelry, as well as K gold glasses, and craft travel souvenirs. The company was formerly known as China First Pencil Co., Ltd. and changed its name to Lao Feng Xiang Co., Ltd. in July 2009. Lao Feng Xiang Co., Ltd. was founded in 1848 and is based in Shanghai, the People's Republic of China.",https://www.laofengxiang.com,2347,71435641416,71435641416,,,,,,,2025-01-23T14:08:35.849147+00:00
DKS,DKS,"DICK'S Sporting Goods, Inc.",19265573298,USD,19265573298,19265573298,NYSE,236.46,true,"DICK'S Sporting Goods, Inc., together with its subsidiaries, operates as a sporting goods retailer primarily in the eastern United States. The company provides hardlines, including sporting goods equipment, fitness equipment, golf equipment, and hunting and fishing gear products; apparel; and footwear and accessories. It also owns and operates Sporting Goods, Golf Galaxy, Field & Stream, Public Lands, Going Going Gone!, and other specialty concept stores; and DICK'S House of Sports and Golf Galaxy Performance Center, as well as GameChanger, a youth sports mobile application for video streaming, scorekeeping, scheduling, and communications. The company sells its product through e-commerce websites and mobile applications. As of January 29, 2022, it operated 730 DICK'S Sporting Goods stores. The company was formerly known as Dick'S Clothing and Sporting Goods, Inc. and changed its name to DICK'S Sporting Goods, Inc. in April 1999. DICK'S Sporting Goods, Inc. was incorporated in 1948 and is headquartered in Coraopolis, Pennsylvania.",https://www.dickssportinggoods.com,18900,12984399000,12984399000,,,,,,,2025-01-23T14:09:17.044193+00:00
ONON,ONON,On Holding AG,18746244300,USD,18746244300,18746244300,NYSE,58.56,true,"On Holding AG develops and distributes sports products worldwide. It offers athletic footwear, apparel, and accessories. The company offers its products through independent retailers and distributors, online, and stores. On Holding AG was founded in 2010 and is headquartered in Zurich, Switzerland.",https://www.on-running.com,2353,1792100000,1792100000,,,,,,,2025-01-23T14:08:54.264170+00:00
BURL,BURL,"Burlington Stores, Inc.",18340295710,USD,18340295710,18340295710,NYSE,288.91,true,"Burlington Stores, Inc. operates as a retailer of branded apparel products in the United States. The company provides fashion-focused merchandise, including women's ready-to-wear apparel, menswear, youth apparel, footwear, accessories, toys, gifts, and coats, as well as baby, home, and beauty products. As of January 29, 2022, it operated 837 stores under the Burlington Stores name, 2 stores under the Cohoes Fashions name, and 1 store under the MJM Designer Shoes name in 45 states and Puerto Rico. Burlington Stores, Inc. was founded in 1972 and is headquartered in Burlington, New Jersey.",https://www.burlingtoninvestors.com,17052,9718150000,9718150000,,,,,,,2025-01-23T14:08:53.538384+00:00
6110.HK,6110.HK,Topsports International Holdings Limited,18293599000,HKD,18293599000,18293599000,HKSE,2.95,true,"Topsports International Holdings Limited, an investment holding company, engages in the sale of sportswear products in the People's Republic of China. The company is also involved in the leasing of commercial spaces to other retailers for concessionaire sale; provision of information technology services; operation of sports cities business; and trading of sportswear products. As of February 28, 2022, it operated a network of 7,695 directly operated stores. The company also offers its products through e-commerce platform. Topsports International Holdings Limited was founded in 1999 and is headquartered in Kwai Chung, Hong Kong.",https://www.topsports.com.cn,28941,28933200000,28933200000,,,,,,,2025-01-23T14:08:45.886123+00:00
TPR,TPR,"Tapestry, Inc.",17090860240,USD,17090860240,17090860240,NYSE,73.34,true,"Tapestry, Inc. provides luxury accessories and branded lifestyle products in the United States, Japan, Greater China, and internationally. The company operates in three segments: Coach, Kate Spade, and Stuart Weitzman. It offers women's accessories, including handbags, such as wallets, money pieces, wristlets, and cosmetic cases; novelty accessories comprising address books, time management and travel accessories, sketchbooks, and portfolios; and key rings and charms. The company also provides bag collections, including business cases, computer bags, messenger-style bags, backpacks, and totes; small leather goods, such as wallets, card cases, travel organizers, and belts; and footwear, watches, fragrances, sunglasses, novelty accessories, and ready-to-wear for men. In addition, it offers women's footwear; sunglasses; bracelets, necklaces, rings, and earrings; fragrances and watches; women's seasonal lifestyle apparel collections, including outerwear and ready-to-wear, and cold weather accessories, which comprise gloves, scarves, and hats. Further, the company provides footwear items; and housewares and home accessories for kids, such as fashion bedding and tableware; and stationery and gifts. Additionally, it licenses rights to market and distribute its tech and soft accessories, jewelry, watches, eyewear, and fragrances under the Coach brand; and tableware and housewares, fashion beddings, tech accessories, watches, sleepwear, eyewear, stationery and gifts, and fragrances under the Kate Spade brand. As of July 2, 2022, the company operated through a network of 945 Coach stores, 398 Kate Spade stores, and 100 Stuart Weitzman stores. It sells its products through e-commerce sites and concession shop-in-shops, and wholesale customers, as well as through independent third-party distributors. The company was formerly known as Coach, Inc. and changed its name to Tapestry, Inc. in October 2017. Tapestry, Inc. was founded in 1941 and is headquartered in New York, New York.",https://www.tapestry.com,12500,6671200000,6671200000,,,,,,,2025-01-23T14:08:50.479891+00:00
MONC.MI,MONC.MI,Moncler S.p.A.,15927898001,EUR,15927898001,15927898001,MIL,58.86,true,"Moncler S.p.A., together with its subsidiaries, designs, produces, and distributes clothing and related accessories for men, women, and children under the Moncler and Stone Island brand names. Its product portfolio includes footwear products; leather goods, such as bags, backpacks, and accessories; and sunglasses, eyeglasses, frames, and men's and women's ski goggles under the Moncler Lunettes brand. The company also offers perfume for men and women. As of December 31, 2021, it operated 237 retail directly operated stores and 64 wholesale shop-in-shops. The company also sells its products through moncler.com, an online store. It serves in Italy, other European countries, Japan, the rest of Asia, and the Americas. The company was formerly known as Moncler S.r.l. and changed its name to Moncler S.p.A. in October 2013. Moncler S.p.A. was founded in 1952 and is headquartered in Milan, Italy.",https://www.monclergroup.com,7316,2984217000,2984217000,,,,,,,2025-01-23T14:08:31.234514+00:00
002563.SZ,002563.SZ,"Zhejiang Semir Garment Co., Ltd.",15868189493,CNY,15868189493,15868189493,SHZ,5.89,true,"Zhejiang Semir Garment Co., Ltd. produces and sells casual wear and children's wear in China. The company offers clothing, shoes, hats, etc., as well as knitwear and home textiles products. It offers its products under the Semir, Balabala, Marcolor, Mini Barra, Kidiliz, and other brands. The company offers its products through stores and online. Zhejiang Semir Garment Co., Ltd. was founded in 1996 and is based in Shanghai, China.",https://www.semir.com,3097,13660527097,13660527097,,,,,,,2025-01-23T14:08:35.499847+00:00
RL,RL,Ralph Lauren Corporation,15555356419,USD,15555356419,15555356419,NYSE,250.42,true,"Ralph Lauren Corporation designs, markets, and distributes lifestyle products in North America, Europe, Asia, and internationally. The company offers apparel, including a range of men's, women's, and children's clothing; footwear and accessories, which comprise casual shoes, dress shoes, boots, sneakers, sandals, eyewear, watches, fashion and fine jewelry, scarves, hats, gloves, and umbrellas, as well as leather goods, such as handbags, luggage, small leather goods, and belts; home products consisting of bed and bath lines, furniture, fabric and wallcoverings, lighting, tabletop, kitchen linens, floor coverings, and giftware; and fragrances. It sells apparel and accessories under the Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Golf Ralph Lauren, Ralph Lauren Golf, RLX Ralph Lauren, Polo Ralph Lauren Children, and Chaps brands; women's fragrances under the Ralph Lauren Collection, Woman by Ralph Lauren, Romance Collection, and Ralph Collection brand names; and men's fragrances under the Polo Blue, Ralph's Club, Safari, Purple Label, Polo Red, Polo Green, Polo Black, Polo Sport, and Big Pony Men's brand names. The company's restaurant collection includes The Polo Bar in New York City; RL Restaurant in Chicago; Ralph's in Paris; The Bar at Ralph Lauren located in Milan; and Ralph's Coffee concept. It sells its products to department stores, specialty stores, and golf and pro shops, as well as directly to consumers through its retail stores, concession-based shop-within-shops, and its digital commerce sites. The company directly operates 504 retail stores and 684 concession-based shop-within-shops; and operates 175 Ralph Lauren stores, 329 factory stores, and 148 stores and shops through licensing partners. Ralph Lauren Corporation was founded in 1967 and is headquartered in New York, New York.",https://www.ralphlauren.com,14800,6631400000,6631400000,,,,,,,2025-01-23T14:08:51.499071+00:00
MONTECARLO.NS,MONTECARLO.NS,Monte Carlo Fashions Limited,13767151005,INR,13767151005,13767151005,NSE,664.05,true,"Monte Carlo Fashions Limited engages in manufacturing and trading woolen/cotton readymade apparels under the Monte Carlo brand in India and internationally. The company provides shirts, trousers, denims, Bermudas, lowers, hi-street fashion shirts, tops, dresses, jumpsuits, urban tunics, shrugs, shorts, capris, narrow pants, leggings, track suits, T-shirts, ties, belts, and socks for men, women, and tweens. It also offers home furnishings and kids' apparel. The company sells its products through approximately 298 executive brand outlets, 1777 multiple brand outlets, 622 national chain stores, and 153 shop-in-shop stores, as well as through e-commerce portals. Monte Carlo Fashions Limited was incorporated in 2008 and is based in Ludhiana, India.",https://www.montecarlocorporate.com,2020,10605600000,10605600000,,,,,,,2025-01-23T14:08:44.691909+00:00
LREN3.SA,LREN3.SA,Lojas Renner S.A.,13493725396,BRL,13493725396,13493725396,SAO,12.83,true,"Lojas Renner S.A., together with its subsidiaries, operates as a fashion and lifestyle company in Brazil, Uruguay, and Argentina. The company operates in Retail and Financial Products segments. It engages in the trade of clothes and sports products, shoes, accessories, perfumery, domestic appliances, towels and linen, furniture, and decoration articles. The company owns and operates Renner stores, including 392 units in Brazil, 8 units in Brazil, and 4 in Argentina; 119 Camicado stores; 104 Youcom stores; and 114 Ashua stores. It also engages in the granting of withdrawals, and financing of purchases and insurance, as well as provides personal loans. The company was incorporated in 1965 and is headquartered in Porto Alegre, Brazil.",https://www.lojasrenner.com.br,24364,13647849000,13647849000,,,,,,,2025-01-23T14:08:31.696900+00:00
GIL.TO,GIL.TO,Gildan Activewear Inc.,11303690400,CAD,11303690400,11303690400,TSX,73.2,true,"Gildan Activewear Inc. manufactures and sells various apparel products in the United States, North America, Europe, Asia-Pacific, and Latin America. It provides various activewear products, including T-shirts, fleece tops and bottoms, and sports shirts under the Gildan, Gildan Performance, Gildan Hammer, Comfort Colors, American Apparel, Alstyle, and GoldToe brands. The company also offers hosiery products comprising athletic; dress; and casual, liner, therapeutic, and workwear socks, as well as sheer pantyhose, tights, and leggings under the Gildan, Under Armour, GoldToe, PowerSox, Signature Gold by Goldtoe, Peds, MediPeds, Therapy Plus, All Pro, Secret, Silks, Secret Silky, and American Apparel brands. In addition, it provides men's and boys' underwear products, and ladies panties under the Gildan and Gildan Platinum brands; and ladies' shapewear, intimates, and accessories under the Secret and Secret Silky brands. The company sells its products to wholesale distributors, screen printers, and embellishers, as well as to retailers and lifestyle brand companies. The company was formerly known as Textiles Gildan Inc. and changed its name to Gildan Activewear Inc. in March 1995. Gildan Activewear Inc. was founded in 1946 and is headquartered in Montreal, Canada.",https://gildancorp.com,49000,3195911000,3195911000,,,,,,,2025-01-23T14:08:35.010566+00:00
NXT.L,NXT.L,NEXT plc,11302337413,GBp,11302337413,11302337413,LSE,9616.692,true,"NEXT plc engages in the retail of clothing, footwear, and home products in the United Kingdom, rest of Europe, the Middle East, Asia, and internationally. The company operates through NEXT Retail, NEXT Online, NEXT Finance, NEXT International Retail, NEXT Sourcing, Lipsy, NENA, and Property Management segments. It operates retail stores; an online retail platform; and 199 franchise stores in 35 countries. The company also offers consumer credit; NEXT branded products; and women's, men's, children's, homeware, and beauty products under the LABEL and Lipsy's own brand, and other third-party brands. In addition, it provides property management services, including holding and lease of properties. The company was formerly known as J Hepworth & Son and changed its name to NEXT plc in 1986. NEXT plc was founded in 1864 and is headquartered in Enderby, the United Kingdom.",https://www.nextplc.co.uk,31947,5491000000,5491000000,,,,,,,2025-01-23T14:08:31.105338+00:00
SKX,SKX,"Skechers U.S.A., Inc.",11090428023,USD,11090428023,11090428023,NYSE,73.46,true,"Skechers U.S.A., Inc. designs, develops, markets, and distributes footwear for men, women, and children; and performance footwear for men and women worldwide. The company operates through three segments: Domestic Wholesale, International Wholesale, and Direct-to-Consumer. It offers casual, casual athletic, sport athletic, trail, sandals, boots, and retro fashion footwear for men and women under the Skechers USA, Skechers Sport, Skechers Active, Modern Comfort, Skechers Street, Mark Nason, and BOBS brands; sneakers, casuals, boots, and sandals for boys and girls under the Skechers Mega-Craft, S-Lights, SKECH-AIR, Foamies, Twinkle Toes, Z-Strap, Skechers Stretch Fit, and Skechers Street brands; and technical footwear under the Skechers GOrun, Skechers GOwalk, Skechers GOtrain, Skechers GOtrail, and Skechers GO Golf brands. The company also provides men's and women's slip-resistant and safety-toe casuals, boots, hikers, and athletic shoes; and lifestyle apparel for men, women, and kids. As of December 31, 2021, it operated 4,306 company and third party owned Skechers stores. The company sells its products through department and specialty stores, athletic and independent retailers, boutiques, and online retailers; and through its e-commerce sites, concept stores, and factory and warehouse outlet stores. It also licenses its Skechers brand. Skechers U.S.A., Inc. was incorporated in 1992 and is headquartered in Manhattan Beach, California.",https://www.skechers.com,9200,8000342000,8000342000,,,,,,,2025-01-23T14:08:52.189804+00:00
BIRK,BIRK,Birkenstock Holding plc,10988008785,USD,10988008785,10988008785,NYSE,58.5,true,"Birkenstock Holding plc manufactures and sells footwear products. It also offers sandals, shoes, closed-toe silhouettes, skincare products, and accessories. The company sells its products through e-commerce sites and a network of owned retail stores, as well as business-to-business channels. It operates in the United States, Brazil, Canada, Mexico, Europe, APMA, and internationally. Birkenstock Holding plc was founded in 1774 and is based in London, the United Kingdom. Birkenstock Holding plc is a subsidiary of BK LC Lux MidCo S.à r.l.",https://www.birkenstock-holding.com,5300,1804690000,1804690000,,,,,,,2025-01-23T14:08:48.473075+00:00
DOCS,DOCS,"Doximity, Inc.",10460809965,USD,10460809965,10460809965,NYSE,56.03,true,"Doximity, Inc. operates a cloud-based digital platform for medical professionals in the United States. The company's platform provides its members with tools built for medical professionals, enabling them to collaborate with their colleagues, coordinate patient care, conduct virtual patient visits, stay up to date with the latest medical news and research, and manage their careers. It primarily serves pharmaceutical manufacturers and healthcare systems. The company was formerly known as 3MD Communications, Inc. and changed its name to Doximity, Inc. in June 2010. Doximity, Inc. was incorporated in 2010 and is headquartered in San Francisco, California.",https://www.doximity.com,827,475422000,475422000,,,,,,,2025-01-23T14:09:11.271639+00:00
VFC,VFC,V.F. Corporation,9779693280,USD,9779693280,9779693280,NYSE,25.12,true,"V.F. Corporation, together with its subsidiaries, engages in the design, procurement, marketing, and distribution of branded lifestyle apparel, footwear, and related products for men, women, and children in the Americas, Europe, and the Asia-Pacific. It operates through three segments: Outdoor, Active, and Work. The company offers outdoor, merino wool and other natural fibers-based, lifestyle, and casual apparel; footwear; equipment; accessories; outdoor-inspired, performance-based, youth culture/action sports-inspired, streetwear, and protective work footwear; handbags, luggage, backpacks, and totes; and work and work-inspired lifestyle apparel and footwear. It provides its products under the North Face, Timberland, Smartwool, Icebreaker, Altra, Vans, Supreme, Kipling, Napapijri, Eastpak, JanSport, Dickies, and Timberland PRO brand names. The company sells its products primarily to specialty stores, department stores, national chains, and mass merchants, as well as sells through direct-to-consumer operations, including retail stores, concession retail stores, and e-commerce sites, and other digital platforms. V.F. Corporation was founded in 1899 and is headquartered in Denver, Colorado.",https://www.vfc.com,18000,10454667000,10454667000,,,,,,,2025-01-23T14:08:49.429637+00:00
GAP,GAP,"The Gap, Inc.",9292286080,USD,9292286080,9292286080,NYSE,24.64,true,"The Gap, Inc. operates as an apparel retail company. The company offers apparel, accessories, and personal care products for men, women, and children under the Old Navy, Gap, Banana Republic, and Athleta brands. Its products include denim, tees, fleece, and khakis; eyewear, jewelry, shoes, handbags, and fragrances; and fitness and lifestyle products for use in yoga, training, sports, travel, and everyday activities for women and girls. The company offers its products through company-operated stores, franchise stores, Websites, third-party arrangements, and catalogs. It has franchise agreements with unaffiliated franchisees to operate Old Navy, Gap, Athleta, and Banana Republic stores and websites in Asia, Europe, Latin America, the Middle East, and Africa. As of December 31, 2021, the company had 2,835 company-operated stores and 564 franchise stores. It also provides its products through e-commerce sites. The Gap, Inc. was incorporated in 1969 and is headquartered in San Francisco, California.",https://www.gapinc.com,85000,14889000000,14889000000,,,,,,,2025-01-23T14:09:14.604037+00:00
FOI-B.ST,FOI-B.ST,Fenix Outdoor International AG,9153053084,SEK,9153053084,9153053084,STO,679.0,true,"Fenix Outdoor International AG, together with its subsidiaries, develops, manufactures, and sells outdoor products primarily in Switzerland, Sweden, other Nordic countries, Germany, Benelux, other European countries, the Americas, and internationally. The company operates through three segments: Brands, Global Sales, and Frilufts. It offers apparel, daypacks, backpacks, sleeping bags, tents, stoves, bags, outdoor shoes and boots, lanterns, fuel, and accessories. The company sells its products under the Fjällräven, Tierra, Primus, Hanwag, and Royal Robbins brand names through 95 stores in Sweden, Norway, Germany, Finland, Denmark, and the United Kingdom, as well as through Brandretail, the e-com and brand retail shops. Fenix Outdoor International AG was founded in 1960 and is based in Zug, Switzerland.",https://www.fenixoutdoor.se,2972,739639000,739639000,,,,,,,2025-01-23T14:08:43.046938+00:00
UHR.SW,UHR.SW,The Swatch Group AG,8285262670,CHF,8285262670,8285262670,SIX,161.55,true,"The Swatch Group AG designs, manufactures, and sells finished watches, jewelry, and watch movements and components worldwide. It operates through Watches & Jewelry and Electronic Systems segments. The Watches & Jewelry segment designs, produces, and commercializes watches and jewelry. The Electronic Systems segment is involved in the design, production, and commercialization of electronic components, as well as sports timing activities. It is also involved in the provision of assembly, research and development, administration, watch case polishing, logistics and distribution, and customer services; and hard material products, microelectronics, watch cases and crowns, miniature low-frequency quartz crystals, thin wires, miniature batteries, watch dials and bracelets, watch hands, sports timing technology and equipment, precision parts, and assembly electronic components. In addition, the company engages in retail, communication, real estate project and property management, finance, reinsurance, and art center businesses. It offers its watch and jewelry products primarily under the Breguet, Harry Winston, Blancpain, Glashütte Original, Jaquet Droz, Léon Hatot, Omega, Longines, Rado, Union Glashütte, Tissot, Balmain, Certina, Mido, Hamilton, Calvin Klein, Swatch, and Flik Flak brands. The Swatch Group AG was founded in 1983 and is headquartered in Biel/Bienne, Switzerland.",https://www.swatchgroup.com,33353,7888000000,7888000000,,,,,,,2025-01-23T14:08:29.694751+00:00
ZAL.DE,ZAL.DE,Zalando SE,8195195108,EUR,8195195108,8195195108,XETRA,31.44,true,"Zalando SE operates an online platform for fashion and lifestyle products. It provides clothing, footwear, accessories, and beauty products with free delivery and returns. The company also sells its products through its Zalando Lounge; and brick-and-mortar outlet stores in Berlin, Frankfurt, Cologne, Leipzig, Hamburg, Hanover, Münster, Stuttgart, Mannheim, and Ulm. It serves customers in 23 countries, including Austria, Belgium, Croatia, Czechia, Denmark, Estonia, Finland, France, Germany, Ireland, Italy, Latvia, Lithuania, Luxembourg, the Netherlands, Norway, Poland, Slovakia, Slovenia, Spain, Sweden, Switzerland, and the United Kingdom. The company was founded in 2008 and is headquartered in Berlin, Germany.",https://corporate.zalando.de,15206,10143100000,10143100000,,,,,,,2025-01-23T14:08:29.992312+00:00
BBWI,BBWI,"Bath & Body Works, Inc.",8117493360,USD,8117493360,8117493360,NYSE,37.48,true,"Bath & Body Works, Inc. operates a specialty retailer of home fragrance, body care, and soaps and sanitizer products. The company sells its products under the Bath & Body Works, White Barn, and other brand names through specialty retail stores and websites located in the United States and Canada, as well as through international stores operated by partners under franchise, license, and wholesale arrangements. As of January 29, 2022, it operated 1,755 company-operated retail stores and 338 international partner-operated stores. The company was formerly known as L Brands, Inc. and changed its name to Bath & Body Works, Inc. in August 2021. Bath & Body Works, Inc. was founded in 1963 and is headquartered in Columbus, Ohio.",https://www.bbwinc.com,8981,7429000000,7429000000,,,,,,,2025-01-23T14:09:14.965819+00:00
BC.MI,BC.MI,Brunello Cucinelli S.p.A.,8113558350,EUR,8113558350,8113558350,MIL,119.4,true,"Brunello Cucinelli S.p.A., together with its subsidiaries, engages in the production and sale of clothing, accessories, and lifestyle products in Italy, Europe, North America, Japan, and China. The company offers women's collection, including coats and jackets, dresses, knitwear, t-shirts and tops, shirts, skirts, pants, denim, travel wear, sneakers, high-boots, loafers and flat shoes, sandals, leather goods, jewelry, scarves, other accessories, mini bags and clutches, crossbody bags and backpacks, and handbags and shoppers. It also provides men's collection, such as coats and jackets, knitwear, blazers and waistcoats, suits, tuxedos, t-shirts and polos, shirts, pants, denims, travel wear, sneakers, lace-ups, loafers, boots, leather goods, bags, scarves, and other accessories; and kids collections. In addition, the company offers lifestyle products, which include throw and blanket, cushion, studio products, candle and fragrance, bathrobe and towel, gardening products, travel essential, leisure bag, leisure wear, kitchen and table ware, table linen, and ceramic creation products, China, and internationally. As of December 31, 2021, it managed and operated 114 directly operated stores; and 30 wholesale monobrand boutiques. The company was founded in 1978 and is headquartered in Solomeo, Italy. Brunello Cucinelli S.p.A. is a subsidiary of Fedone S.r.l.",https://www.brunellocucinelli.com,3021,1139420000,1139420000,,,,,,,2025-01-23T14:08:36.945946+00:00
BOOZT.ST,BOOZT.ST,Boozt AB (publ),7986609103,SEK,7986609103,7986609103,STO,122.5,true,"Boozt AB (publ), together with its subsidiaries, sells fashion, apparel, shoes, , accessories, and beauty products online. It operates through three segments: Boozt.com, Booztlet.com, and Other. The company operates Boozt.com, a multi-brand webstore with approximately 1000 brand partners for women, men, kids, sports and athleisure, beauty, and home products. The Booztlet.com operates as a channel for inventory clearance and retailing items that were not sold during their allotted timeframe in the webstores. It also provides clothing, shoes, accessories, sportswear, beauty products, and soft home products. In addition, the company operates physical retail stores under the Booztlet and Beauty by Boozt store names. The company operates in Sweden, Denmark, Norway, Finland, Germany, the United Kingdom, France, the Netherlands, Poland, and other European countries. Boozt AB (publ) was founded in 2007 and is headquartered in Malmö, Sweden.",https://www.booztfashion.com,1170,7755000000,7755000000,,,,,,,2025-01-23T14:08:43.299761+00:00
ATZ.TO,ATZ.TO,Aritzia Inc.,7800175205,CAD,7800175205,7800175205,TSX,69.02,true,"Aritzia Inc., together with its subsidiaries, designs and sells apparels and accessories for women in North America. It offers t-shirts and tops, bodysuits, shirts and blouses, sweaters, jumpsuits and rompers, shirt jackets, skirts, bodysuits, activeware, knitwear, sweatsuits, pants, denims, leggings, bike shorts, dresses, jackets, blazers, jackets and coats, and shoes, as well as accessories, including hats, socks, face masks, intimates, gloves and mittens, belts, scarves, scrunchies, bags, and iphone cases. The company offers its products under the Wilfred, Super World, Babaton, and TNA brands. As of February 27, 2022, it operates approximately 105 boutiques. In addition, it sells its products through online at aritzia.com. The company was formerly known as Aritzia Capital Corporation and changed its name to Aritzia Inc. in August 2016. Aritzia Inc. was founded in 1984 and is headquartered in Vancouver, Canada.",https://www.aritzia.com,8300,2332350000,2332350000,,,,,,,2025-01-23T14:08:40.173844+00:00
DDS,DDS,"Dillard's, Inc.",7498032261,USD,7498032261,7498032261,NYSE,471.45,true,"Dillard's, Inc. operates retail department stores in the southeastern, southwestern, and midwestern areas of the United States. Its stores offer merchandise, including fashion apparel for women, men, and children; and accessories, cosmetics, home furnishings, and other consumer goods. As of January 29, 2022, the company operated 280 Dillard's stores, including 30 clearance centers, and an Internet store at dillards.com. It also engages in the general contracting construction activities. The company was founded in 1938 and is based in Little Rock, Arkansas.",https://www.dillards.com,22800,6874420000,6874420000,,,,,,,2025-01-23T14:09:17.768213+00:00
